iter	MultiClass
281	0.7031519162
282	0.7020112371
283	0.7008479871
284	0.6997405599
285	0.6987402211
286	0.6973649047
287	0.6963177583
288	0.6952902616
289	0.6942743001
290	0.6931825673
291	0.6922317194
292	0.6910488268
293	0.6897987051
294	0.6886031833
295	0.687528566
296	0.6861166581
297	0.6850398914
298	0.6838955252
299	0.6829046467
300	0.6817385846
301	0.6806617803
302	0.6796413055
303	0.6786838967
304	0.6775641792
305	0.6765833033
306	0.6755427179
307	0.6743605376
308	0.6733986796
309	0.6724527581
310	0.6713711485
311	0.6703016737
312	0.6692867514
313	0.66831399
314	0.6671457483
315	0.6662087981
316	0.6650098202
317	0.6640870853
318	0.6629173123
319	0.6619988117
320	0.6607189075
321	0.6597993449
322	0.6587658037
323	0.657667187
324	0.656598164
325	0.6556703576
326	0.6547664892
327	0.6538583461
328	0.6529154957
329	0.6520715907
330	0.6511490215
331	0.6503296718
332	0.6494757229
333	0.6485511155
334	0.6476239412
335	0.6466977298
336	0.6458418782
337	0.6448231025
338	0.6439200809
339	0.6429111176
340	0.6421208363
341	0.641329034
342	0.6404848657
343	0.6393270838
344	0.6381623569
345	0.6371892534
346	0.6363123017
347	0.635525427
348	0.6346322238
349	0.6337793137
350	0.6329447085
351	0.6321484805
352	0.6312971423
353	0.6304711844
354	0.6297127572
355	0.6287443434
356	0.6278376509
357	0.6268551285
358	0.6260787945
359	0.6251797092
360	0.6243766832
361	0.6232918626
362	0.6225000441
363	0.6213824433
364	0.6205345453
365	0.6198047803
366	0.6188153806
367	0.6179984787
368	0.6172318362
369	0.6163968676
370	0.6155248591
371	0.6146604687
372	0.6138969713
373	0.6130962553
374	0.6123061545
375	0.6114889064
376	0.6107676349
377	0.6099166706
378	0.6090803482
379	0.6083917222
380	0.6075990815
381	0.6067867421
382	0.6060619166
383	0.6034001448
384	0.6024433766
385	0.6013764315
386	0.6005998807
387	0.5996061863
388	0.5987971433
389	0.5980919129
390	0.5970118396
391	0.5962564199
392	0.5954676793
393	0.5944750582
394	0.5934866943
395	0.5926045937
396	0.5898435746
397	0.5891495062
398	0.5883928059
399	0.5877590072
400	0.5869805639
401	0.5861621001
402	0.5853986763
403	0.5846588611
404	0.5839798388
405	0.5832286128
406	0.5822838293
407	0.5815087809
408	0.5807955108
409	0.580067054
410	0.5793721221
411	0.5785924246
412	0.5779535771
413	0.5772340175
414	0.576484515
415	0.5758117252
416	0.5751304204
417	0.5744088169
418	0.5736518768
419	0.5727913807
420	0.5721418769
421	0.5715590095
422	0.5703750501
423	0.5682235823
424	0.5674663423
425	0.5668587587
426	0.5661469912
427	0.5654973624
428	0.5646431856
429	0.5640053292
430	0.5633799009
431	0.5626924774
432	0.5620283222
433	0.5611915532
434	0.5605253854
435	0.5597808247
436	0.5591790541
437	0.5585675443
438	0.557892209
439	0.5573095144
440	0.5563167205
441	0.5556261204
442	0.5549951228
443	0.554410702
444	0.5537810754
445	0.5531001451
446	0.5523343919
447	0.5517407204
448	0.5506826369
449	0.550124901
450	0.549572568
451	0.5488699917
452	0.5480554485
453	0.5474177088
454	0.5466835827
455	0.5460074306
456	0.5453035492
457	0.5445137866
458	0.5439133615
459	0.5433191945
460	0.5425357249
461	0.5419600837
462	0.5413398838
463	0.5408284451
464	0.5401704818
465	0.5395413794
466	0.5389542562
467	0.5383199092
468	0.5377023277
469	0.5370940523
470	0.5364117784
471	0.5358129693
472	0.5352213863
473	0.5345934006
474	0.533903152
475	0.5333432363
476	0.5327425361
477	0.5319994878
478	0.5314219052
479	0.5307768456
480	0.5302595195
481	0.5296339918
482	0.5290369317
483	0.528361449
484	0.5277495674
485	0.5258119947
486	0.5251736615
487	0.5245762894
488	0.5238415932
489	0.5233228534
490	0.5228030329
491	0.5222530519
492	0.5216549391
493	0.5202035967
494	0.5195704236
495	0.5187857967
496	0.5182402302
497	0.5177062045
498	0.5170656993
499	0.5164117833
500	0.5157996999
501	0.5153077518
502	0.5148898629
503	0.5144019762
504	0.5137431707
505	0.5131419527
506	0.5125744835
507	0.5119529145
508	0.5113557952
509	0.5108627914
510	0.5102839706
511	0.5098247759
512	0.5093046448
513	0.5088158077
514	0.5081308579
515	0.5076175115
516	0.5071316168
517	0.506624156
518	0.5057988143
519	0.5051745209
520	0.5045166961
521	0.5038730929
522	0.5034362364
523	0.5029599449
524	0.5024238601
525	0.501945415
526	0.501491902
527	0.5010468534
528	0.5005916905
529	0.5001813196
530	0.4997528931
531	0.4992256945
532	0.498782153
533	0.4982793951
534	0.497834225
535	0.4973620393
536	0.496751613
537	0.4960848238
538	0.4955200141
539	0.4950726605
540	0.4945389914
541	0.4941166631
542	0.4936664911
543	0.4931652102
544	0.4927054635
545	0.4922089525
546	0.4915360929
547	0.4910455832
548	0.4906322375
549	0.4901304337
550	0.4896137924
551	0.4891576376
552	0.4885872604
553	0.4881456901
554	0.4876718738
555	0.4870884006
556	0.486589613
557	0.486150228
558	0.4857452901
559	0.485251064
560	0.4847061043
561	0.4839547897
562	0.4834606239
563	0.4829773379
564	0.4825392046
565	0.4820608428
566	0.4816078091
567	0.4811972333
568	0.4806230291
569	0.4802432404
570	0.47972131
571	0.4790707168
572	0.4785465505
573	0.4781109394
574	0.4776975236
575	0.4773164234
576	0.4768152582
577	0.4763544048
578	0.4759987262
579	0.475509281
580	0.4751277095
581	0.4747104391
582	0.47425106
583	0.4738213341
584	0.473378698
585	0.4728698724
586	0.4724441308
587	0.4719662682
588	0.4715246095
589	0.4710396264
590	0.4705674952
591	0.4701376732
592	0.4696657181
593	0.469260333
594	0.4689232085
595	0.4683751848
596	0.4673347217
597	0.4668052279
598	0.4663869733
599	0.4658865827
600	0.4654504089
601	0.46498758
602	0.4645703474
603	0.464157359
604	0.4637825719
605	0.4634140753
606	0.4629499962
607	0.4625845022
608	0.461459846
609	0.4610263603
610	0.4604238815
611	0.4599951441
612	0.4596402728
613	0.4592368453
614	0.4587181696
615	0.4583763505
616	0.4580502877
617	0.4576596245
618	0.4572907565
619	0.4568578192
620	0.4564564645
621	0.4560708106
622	0.455588605
623	0.4551365977
624	0.4546575427
625	0.4542758517
626	0.4539741518
627	0.4537251794
628	0.4533093051
629	0.4529157646
630	0.4524879413
631	0.4520773426
632	0.4515811434
633	0.451166866
634	0.4508157396
635	0.4503675017
636	0.449794823
637	0.4494313
638	0.4490884051
639	0.4487236474
640	0.4483683444
641	0.4479509243
642	0.4475514464
643	0.447230243
644	0.4469114135
645	0.4466086759
646	0.4460924125
647	0.4457907474
648	0.4454644162
649	0.4451037725
650	0.4447193409
651	0.4444539181
652	0.443867876
653	0.4434750791
654	0.4430703798
655	0.442769631
656	0.4424399847
657	0.442182657
658	0.4417602427
659	0.4411993918
660	0.4409247021
661	0.4404766592
662	0.4400461858
663	0.4397213023
664	0.4392663003
665	0.4388162852
666	0.4383810606
667	0.4380178858
668	0.4376391093
669	0.4371598681
670	0.4366934128
671	0.4362759309
672	0.4358992648
673	0.4355562611
674	0.4351347825
675	0.4347355487
676	0.4342450867
677	0.4337721252
678	0.4334694268
679	0.4331891916
680	0.4328445116
681	0.4325680115
682	0.4322485012
683	0.4320208131
684	0.4317618218
685	0.4314002939
686	0.431008232
687	0.4306314361
688	0.4303032645
689	0.4299640334
690	0.4286347126
691	0.4282656794
692	0.4278882091
693	0.4274986579
694	0.427215303
695	0.426925061
696	0.4265375512
697	0.4262193091
698	0.425853383
699	0.4255755867
700	0.4252260513
701	0.4247891417
702	0.424476701
703	0.4241902115
704	0.42388514
705	0.4236213241
706	0.423351961
707	0.4230378915
708	0.4227385513
709	0.4223849273
710	0.4220542681
711	0.4215931512
712	0.4212492881
713	0.4210055893
714	0.4207186646
715	0.4203389755
716	0.4200275179
717	0.4197733503
718	0.419427783
719	0.4191439763
720	0.4188331955
721	0.4184846931
722	0.4180335352
723	0.4177645041
724	0.4173958494
725	0.4170401309
726	0.4166050355
727	0.416158533
728	0.4156991607
729	0.4154065269
730	0.4151355463
731	0.4148083603
732	0.414497431
733	0.4141296054
734	0.4137715071
735	0.4135551032
736	0.413161167
737	0.4128278937
738	0.4125821108
739	0.412218274
740	0.4118159797
741	0.4115593392
742	0.4112438301
743	0.4110514129
744	0.4107667016
745	0.4104176906
746	0.4101277169
747	0.4097561411
748	0.4094215532
749	0.4091044482
750	0.4083569218
751	0.408051144
752	0.4078208668
753	0.4075723605
754	0.4073381463
755	0.4071735901
756	0.4068758782
757	0.4064980212
758	0.4062464452
759	0.4060472047
760	0.4057533239
761	0.4054738791
762	0.4052074016
763	0.4050083273
764	0.4045269465
765	0.4042730698
766	0.4040429455
767	0.4037902387
768	0.4034215681
769	0.4033354273
770	0.4029975382
771	0.402825466
772	0.402525683
773	0.4022306278
774	0.4020389784
775	0.4017546117
776	0.401450595
777	0.4011548941
778	0.4008703888
779	0.4006287074
780	0.4004021357
781	0.4000938556
782	0.3997815372
783	0.3994810254
784	0.3991534047
785	0.398873965
786	0.3986920778
787	0.3985449349
788	0.3983061541
789	0.3980761519
790	0.397795731
791	0.3974985598
792	0.3972154331
793	0.3969030694
794	0.3966515818
795	0.396395612
796	0.3961190687
797	0.3959377461
798	0.3956610947
799	0.3954572313
800	0.3951797506
801	0.394932943
802	0.3946757927
803	0.394364776
804	0.3940058185
805	0.3938542896
806	0.3935680574
807	0.393354262
808	0.3931202478
809	0.3927968999
810	0.3925392157
811	0.3923753591
812	0.3921580833
813	0.3919186743
814	0.3916388405
815	0.391466971
816	0.3910171029
817	0.3906609535
818	0.3903426838
819	0.390091542
820	0.3898964065
821	0.3896056005
822	0.3891895286
823	0.3889643748
824	0.3885577354
825	0.3883799706
826	0.3882089209
827	0.3880654004
828	0.3879481666
829	0.3877511179
830	0.3874443189
831	0.3872456193
832	0.3870397705
833	0.3866557351
834	0.3864357504
835	0.3862509053
836	0.3860813072
837	0.3857941399
838	0.3855815628
839	0.3852701565
840	0.3850796971
841	0.384703943
842	0.3844251172
843	0.3841910428
844	0.3838887732
845	0.3836472639
846	0.3834265151
847	0.3832319363
848	0.3830301977
849	0.3826307506
850	0.3822870256
851	0.3820829076
852	0.3818531877
853	0.3816196218
854	0.3814454834
855	0.3810672603
856	0.3808891921
857	0.3807429588
858	0.3805212664
859	0.3802274278
860	0.379979893
861	0.3796972126
862	0.3795923806
863	0.3794389678
864	0.3792015729
865	0.378538817
866	0.3782267865
867	0.3778991313
868	0.3775635627
869	0.3774388377
870	0.3773090507
871	0.3770484818
872	0.3768676181
873	0.3766714659
874	0.3764817873
875	0.3762972385
876	0.3761188839
877	0.3758748318
878	0.3756049872
879	0.3754393351
880	0.3752335199
881	0.3750204711
882	0.3748118762
883	0.3745786683
884	0.3743709256
885	0.3742453377
886	0.3740741774
887	0.373878386
888	0.3735389789
889	0.3733685908
890	0.3732056777
891	0.3730897365
892	0.3728385145
893	0.372467691
894	0.3722243361
895	0.3719802846
896	0.3718304459
897	0.371577308
898	0.371464199
899	0.371178152
900	0.3709313219
901	0.3706981873
902	0.3705311001
903	0.3703166081
904	0.3701380802
905	0.3697948293
906	0.3696202844
907	0.369023391
908	0.3689260394
909	0.3687114702
910	0.3685541985
911	0.3683660733
912	0.3681959516
913	0.3679692575
914	0.3677602099
915	0.3676253576
916	0.3673889357
917	0.3672459689
918	0.3670342006
919	0.3668407158
920	0.3666088073
921	0.3664841548
922	0.366279099
923	0.3661515402
924	0.3659697046
925	0.365812106
926	0.3653135741
927	0.36507671
928	0.3649293621
929	0.3646858443
930	0.3644783224
931	0.3643776814
932	0.3641302608
933	0.3639506283
934	0.3637483555
935	0.3635702478
936	0.3635047538
937	0.3634123688
938	0.3633319011
939	0.3632047003
940	0.3628940391
941	0.3627132798
942	0.3624343605
943	0.3622428523
944	0.36209964
945	0.3619988844
946	0.3619294921
947	0.3617318843
948	0.3615836569
949	0.3613722426
950	0.3612357196
951	0.3611701626
952	0.3609693435
953	0.360704779
954	0.3605166332
955	0.36034601
956	0.3601393828
957	0.3599344843
958	0.3598211904
959	0.3596709989
960	0.3594694119
961	0.3593106716
962	0.3590976209
963	0.3590486262
964	0.3588715675
965	0.3586620444
966	0.3584780246
967	0.3583051625
968	0.3580755843
969	0.357839263
970	0.3576501415
971	0.357621898
972	0.3574353328
973	0.3573374344
974	0.3572207221
975	0.3571219369
976	0.3569687402
977	0.3568913296
978	0.3567037107
979	0.3565766327
980	0.3564790006
981	0.3562488403
982	0.356110881
983	0.3560126592
984	0.355816924
985	0.355629382
986	0.3554667779
987	0.3552645265
988	0.3550977301
989	0.3548912423
990	0.3547824261
991	0.3546771779
992	0.3545079496
993	0.3544381437
994	0.3543696341
995	0.3542104842
996	0.3541369775
997	0.3540049074
998	0.3538961278
999	0.3537885441
